question,key
"If there were a General Election tomorrow, how likely would you be to vote on a scale from 0 to 10, where 0 means you are certain NOT to vote and 10 means you are absolutely CERTAIN to vote?",1
"If there were a General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?",2
Which of the following other parties would you vote for?,3
"If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?",4
"At the General Election that took on the 12th December 2019, 67% of people voted and 33% of people did not. Did you, or did you not vote in the 2019 General Election?",5
"Thinking back to the General Election that took on the 12th December 2019, which of the following parties did you vote for, or did you vote for another party?",6
Which other party did you vote for?,7
"At the EU Referendum in 2016, 72% of people voted and 28% of people did not. Did you, or did you not vote in the 2016 EU Referendum?",8
Thinking back to the EU Referendum in 2016 how did you vote?,9
"If there were a UK General Election tomorrow, how likely would you be to vote on a scale from 0 to 10, where 0 means you are certain NOT to vote and 10 means you are absolutely CERTAIN to vote?",10
"If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?",11
"If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?/If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?",12
"At the UK General Election that took on the 12th December 2019, 67% of people voted and 33% of people did not. Did you, or did you not vote in the 2019 UK General Election?",13
"Thinking back to the UK General Election that took on the 12th December 2019, which of the following parties did you vote for, or did you vote for another party?",14
"Thinking of how you said earlier that you'd vote if a General Election were tomorrow, how likely, or unlikely, is it that you'll change your mind between now and when the next election is actually held?",15
Which of the following politicians do you think would make the best Prime Minister?,16
"Irrespective of how you think you might vote at the next General Election, which of the following do you think is the most likely outcome?",17
You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote Labour if there were an election tomorrow. Which of the following best describes the reason for your vote?,18
You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote Reform UK if there were an election tomorrow. Which of the following best describes the reason for your vote?,19
You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote for a different party or are undecided if there were an election tomorrow. Which of these is closest to your view?,20
Sum: Conservative Party: Which of the following political parties do you think has the best plan for each of the following?,21
Sum: Labour Party: Which of the following political parties do you think has the best plan for each of the following?,22
Manage the economy: Which of the following political parties do you think has the best plan for each of the following?,23
Cut taxes for working people: Which of the following political parties do you think has the best plan for each of the following?,24
Stop small boat crossings: Which of the following political parties do you think has the best plan for each of the following?,25
Represent the UK on the global stage: Which of the following political parties do you think has the best plan for each of the following?,26
Improve the NHS: Which of the following political parties do you think has the best plan for each of the following?,27
Manage the transition to Net Zero: Which of the following political parties do you think has the best plan for each of the following?,28
"Thinking about Rishi Sunak, which of these statements best applies to him?",29
"Thinking about Keir Starmer, which of these statements best applies to him?",30
"Thinking about the Conservative Party, which of these statements best apply?",31
"Thinking about the Labour Party, which of these statements best apply?",32
"Sum: Read: How often on average, do you read each of the following newspapers?",33
"Sum: Read at least once a week: How often on average, do you read each of the following newspapers?",34
"Sum: Read at least once a month: How often on average, do you read each of the following newspapers?",35
"The Sun/ Sun on Sunday: How often on average, do you read each of the following newspapers?",36
"The Daily Telegraph/ The Sunday Telegraph: How often on average, do you read each of the following newspapers?",37
"The Times/ The Sunday Times: How often on average, do you read each of the following newspapers?",38
"The Daily Star/ Daily Star Sunday: How often on average, do you read each of the following newspapers?",39
"The Guardian: How often on average, do you read each of the following newspapers?",40
"The Observer: How often on average, do you read each of the following newspapers?",41
"The Independent/ The Independent on Sunday: How often on average, do you read each of the following newspapers?",42
"The Mirror/ Sunday Mirror: How often on average, do you read each of the following newspapers?",43
"Financial Times/ FT Weekend: How often on average, do you read each of the following newspapers?",44
"Daily Mail/ Mail on Sunday: How often on average, do you read each of the following newspapers?",45
"Sum: Read: How often on average, do you visit each of the following news sites?",46
"Sum: Read at least once a week: How often on average, do you visit each of the following news sites?",47
"Sum: Read at least once a month: How often on average, do you visit each of the following news sites?",48
"TheSun.co.uk: How often on average, do you visit each of the following news sites?",49
"Telegraph.co.uk: How often on average, do you visit each of the following news sites?",50
"Thetimes.co.uk: How often on average, do you visit each of the following news sites?",51
"Dailystar.co.uk: How often on average, do you visit each of the following news sites?",52
"Theguardian.com: How often on average, do you visit each of the following news sites?",53
"Independent.co.uk: How often on average, do you visit each of the following news sites?",54
"inews.co.uk: How often on average, do you visit each of the following news sites?",55
"mirror.co.uk: How often on average, do you visit each of the following news sites?",56
"ft.com: How often on average, do you visit each of the following news sites?",57
"Dailymail.co.uk: How often on average, do you visit each of the following news sites?",58
"BBC News: How often on average, do you visit each of the following news sites?",59
"Channel 4 News: How often on average, do you visit each of the following news sites?",60
"Sky News: How often on average, do you visit each of the following news sites?",61
"CNN: How often on average, do you visit each of the following news sites?",62
"Huffington Post: How often on average, do you visit each of the following news sites?",63
"Buzzfeed.com: How often on average, do you visit each of the following news sites?",64
Sum: Advocates: How would you describe your overall opinion of the brands below compared to other news/media brands?,65
"Sum: Rejectors: How often on average, do you visit each of the following news sites?",66
The Sun: How would you describe your overall opinion of the brands below compared to other news/media brands?,67
The Daily Mail: How would you describe your overall opinion of the brands below compared to other news/media brands?,68
