question,question_short,key
"If there were a General Election tomorrow, how likely would you be to vote on a scale from 0 to 10, where 0 means you are certain NOT to vote and 10 means you are absolutely CERTAIN to vote?","If General Election tomorrow, how likely would be to vote on scale from 0 to 10, where 0 means are certain NOT to vote 10 means are absolutely CERTAIN to vote?",1
"If there were a General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?","If General Election tomorrow to elect MPs to Westminster, which of following parties think would vote or would vote another party?",2
Which of the following other parties would you vote for?,Which of following other parties would vote for?,3
"If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?","If legal requirement to vote, which of following parties think would vote or would vote another party?",4
"At the General Election that took on the 12th December 2019, 67% of people voted and 33% of people did not. Did you, or did you not vote in the 2019 General Election?","At General Election took on 12th December 2019, 67% of people voted 33% of people did not. Did you, or did not vote in 2019 General Election?",5
"Thinking back to the General Election that took on the 12th December 2019, which of the following parties did you vote for, or did you vote for another party?","Thinking back to General Election took on 12th December 2019, which of following parties did vote for, or did vote another party?",6
Which other party did you vote for?,Which other party did vote for?,7
"At the EU Referendum in 2016, 72% of people voted and 28% of people did not. Did you, or did you not vote in the 2016 EU Referendum?","At EU Referendum in 2016, 72% of people voted 28% of people did not. Did you, or did not vote in 2016 EU Referendum?",8
Thinking back to the EU Referendum in 2016 how did you vote?,Thinking back to EU Referendum in 2016 how did vote?,9
"If there were a UK General Election tomorrow, how likely would you be to vote on a scale from 0 to 10, where 0 means you are certain NOT to vote and 10 means you are absolutely CERTAIN to vote?","If UK General Election tomorrow, how likely would be to vote on scale from 0 to 10, where 0 means are certain NOT to vote 10 means are absolutely CERTAIN to vote?",10
"If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?","If UK General Election tomorrow to elect MPs to Westminster, which of following parties think would vote or would vote another party?",11
