key,question
1,"QCVIMQ1. If there were a General Election tomorrow, how likely would you be to vote on a scale from 0 to 10, where 0 means you are certain NOT to vote and 10 means you are absolutely CERTAIN to vote?"
2,"QCVIMQ2. If there were a General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?"
3,QCVIMQ2a. Which of the following other parties would you vote for?
4,"QCVIMQ2/2a. If there were a General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?"
5,"QCVIMQ3. If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?"
6,QCVIMQ3a. Which of the following other parties would you vote for?
7,"QCVIMQ3/3a. If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?"
8,"QCVIMQ2/2a/3/3a. If there were a General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?"
9,"d2019. At the General Election that took on the 12th December 2019, 67% of people voted and 33% of people did not. Did you, or did you not vote in the 2019 General Election?"
10,"QCVIMQ4a. Thinking back to the General Election that took on the 12th December 2019, which of the following parties did you vote for, or did you vote for another party?"
11,QCVIMQ4b. Which other party did you vote for?
12,"d2016. At the EU Referendum in 2016, 72% of people voted and 28% of people did not. Did you, or did you not vote in the 2016 EU Referendum?"
13,QCVIMQ10. Thinking back to the EU Referendum in 2016 how did you vote?
14,"QCVIMQ1. If there were a UK General Election tomorrow, how likely would you be to vote on a scale from 0 to 10, where 0 means you are certain NOT to vote and 10 means you are absolutely CERTAIN to vote?"
15,"QCVIMQ2. If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?"
16,QCVIMQ3. Which of the following other parties would you vote for?
17,"QCVIMQ2/QCVIMQ3. If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?"
18,"QCVIMQ4. If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?"
19,QCVIMQ5. Which of the following other parties would you vote for?
20,"QCVIMQ4/QCVIMQ5. If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?"
